Ref,Val,Package,PosX,PosY,Rot,Side
"C1","12p","C_0805_2012Metric",141.193520,-88.394299,90.000000,top
"C2","10u","C_1206_3216Metric",136.926320,-82.308700,90.000000,top
"C3","12p","C_0805_2012Metric",143.872979,-93.766640,180.000000,top
"C4","10u","C_0805_2012Metric",127.571500,-92.598240,90.000000,top
"C5","10u","C_0402_1005Metric",151.892000,-82.219800,270.000000,top
"C6","100n","C_0402_1005Metric",150.553420,-84.396580,90.000000,top
"C7","22p","C_0805_2012Metric",148.884640,-85.193900,90.000000,top
"C8","100n","C_0402_1005Metric",159.971740,-93.207840,0.000000,top
"C9","22p","C_0805_2012Metric",143.799560,-85.846920,90.000000,top
"C10","100n","C_0402_1005Metric",158.846520,-94.691200,180.000000,top
"C11","100n","C_0402_1005Metric",161.777680,-92.892880,90.000000,top
"C12","100n","C_0402_1005Metric",161.089340,-94.835980,0.000000,top
"C13","100n","C_0402_1005Metric",147.505420,-95.059360,270.000000,top
"C14","100n","C_0402_1005Metric",149.433280,-91.074240,90.000000,top
"C15","1u","C_0603_1608Metric",147.104100,-91.927680,90.000000,top
"C16","100n","C_0402_1005Metric",160.408620,-84.378940,90.000000,top
"C17","100n","C_0402_1005Metric",162.016440,-83.840320,90.000000,top
"C18","100n","C_0402_1005Metric",153.339800,-82.042000,270.000000,top
"D1","B5819W","D_SOD-123",132.984240,-83.906360,180.000000,top
"D2","B5819W","D_SOD-123",137.797540,-91.925140,90.000000,top
"D3","Status","LED_0603_1608Metric",168.993820,-92.781120,180.000000,top
"J1","USB_B_Micro","USB_Micro-B_Molex-105017-0001",173.309280,-87.348060,90.000000,top
"L1","Ferrite_Bead_Small","L_0805_2012Metric",149.953980,-93.113860,0.000000,top
"R1","390","R_0805_2012Metric",148.503640,-89.057480,180.000000,top
"R2","33ohm","R_0805_2012Metric",165.460680,-92.796360,180.000000,top
"R3","4.7k","R_1206_3216Metric",153.159460,-79.303880,0.000000,top
"R4","4.7k","R_1206_3216Metric",158.462980,-79.270860,180.000000,top
"R6","1k","R_0402_1005Metric",155.526740,-96.161860,270.000000,top
"R7","2.2k","R_0402_1005Metric",156.672280,-96.172020,270.000000,top
"R8","1k","R_0402_1005Metric",142.933420,-81.465420,270.000000,top
"R9","1k","R_0402_1005Metric",141.612620,-81.424780,270.000000,top
"R10","1k","R_0402_1005Metric",149.461220,-75.631040,180.000000,top
"R11","1k","R_0402_1005Metric",149.555200,-78.694280,90.000000,top
"R12","1.5k","R_0201_0603Metric",166.446200,-84.162900,0.000000,top
"U1","USBLC6-2SC6","SOT-23-6",166.250000,-87.000000,180.000000,top
"U2","NCP1117","SOT-223-3_TabPin2",132.770880,-89.801700,90.000000,top
"U3","STM32F103C8Tx","LQFP-48_7x7mm_P0.5mm",155.722320,-88.793320,0.000000,top
"Y1","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",144.411700,-90.472260,270.000000,top
"Y2","32.768kHz","Crystal_SMD_3215-2Pin_3.2x1.5mm",146.227800,-85.613240,90.000000,top
